#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::01 Presente de indicativo
#columns:Front,Back,Tags
#tags column:3
"Endings at a glance:<br><i>Presente de indicativo</i>","<b>-ar</b>: o · as · a · amos · áis · an<br><b>-er</b>: o · es · e · emos · éis · en<br><b>-ir</b>: o · es · e · <b>imos</b> · <b>ís</b> · en","presente-indicativo endings"
"<b>hablo</b><br><i>Presente de indicativo</i>","<b>I speak</b><br><span style='font-size:85%'>hablar — to speak · yo</span>","presente-indicativo regular es-en"
"<b>I speak</b><br><i>Presente de indicativo</i>","<b>hablo</b><br><span style='font-size:85%'>hablar — to speak · yo</span>","presente-indicativo regular en-es"
"<b>hablas</b><br><i>Presente de indicativo</i>","<b>you speak</b><br><span style='font-size:85%'>hablar — to speak · tú</span>","presente-indicativo regular es-en"
"<b>you speak</b><br><i>Presente de indicativo</i>","<b>hablas</b><br><span style='font-size:85%'>hablar — to speak · tú</span>","presente-indicativo regular en-es"
"<b>habla</b><br><i>Presente de indicativo</i>","<b>he/she speaks</b><br><span style='font-size:85%'>hablar — to speak · él/ella/usted</span>","presente-indicativo regular es-en"
"<b>he/she speaks</b><br><i>Presente de indicativo</i>","<b>habla</b><br><span style='font-size:85%'>hablar — to speak · él/ella/usted</span>","presente-indicativo regular en-es"
"<b>hablamos</b><br><i>Presente de indicativo</i>","<b>we speak</b><br><span style='font-size:85%'>hablar — to speak · nosotros</span>","presente-indicativo regular es-en"
"<b>we speak</b><br><i>Presente de indicativo</i>","<b>hablamos</b><br><span style='font-size:85%'>hablar — to speak · nosotros</span>","presente-indicativo regular en-es"
"<b>habláis</b><br><i>Presente de indicativo</i>","<b>you all speak</b><br><span style='font-size:85%'>hablar — to speak · vosotros</span>","presente-indicativo regular es-en"
"<b>you all speak</b><br><i>Presente de indicativo</i>","<b>habláis</b><br><span style='font-size:85%'>hablar — to speak · vosotros</span>","presente-indicativo regular en-es"
"<b>hablan</b><br><i>Presente de indicativo</i>","<b>they speak</b><br><span style='font-size:85%'>hablar — to speak · ellos/ellas/ustedes</span>","presente-indicativo regular es-en"
"<b>they speak</b><br><i>Presente de indicativo</i>","<b>hablan</b><br><span style='font-size:85%'>hablar — to speak · ellos/ellas/ustedes</span>","presente-indicativo regular en-es"
"<b>como</b><br><i>Presente de indicativo</i>","<b>I eat</b><br><span style='font-size:85%'>comer — to eat · yo</span>","presente-indicativo regular es-en"
"<b>I eat</b><br><i>Presente de indicativo</i>","<b>como</b><br><span style='font-size:85%'>comer — to eat · yo</span>","presente-indicativo regular en-es"
"<b>comes</b><br><i>Presente de indicativo</i>","<b>you eat</b><br><span style='font-size:85%'>comer — to eat · tú</span>","presente-indicativo regular es-en"
"<b>you eat</b><br><i>Presente de indicativo</i>","<b>comes</b><br><span style='font-size:85%'>comer — to eat · tú</span>","presente-indicativo regular en-es"
"<b>come</b><br><i>Presente de indicativo</i>","<b>he/she eats</b><br><span style='font-size:85%'>comer — to eat · él/ella/usted</span>","presente-indicativo regular es-en"
"<b>he/she eats</b><br><i>Presente de indicativo</i>","<b>come</b><br><span style='font-size:85%'>comer — to eat · él/ella/usted</span>","presente-indicativo regular en-es"
"<b>comemos</b><br><i>Presente de indicativo</i>","<b>we eat</b><br><span style='font-size:85%'>comer — to eat · nosotros</span>","presente-indicativo regular es-en"
"<b>we eat</b><br><i>Presente de indicativo</i>","<b>comemos</b><br><span style='font-size:85%'>comer — to eat · nosotros</span>","presente-indicativo regular en-es"
"<b>coméis</b><br><i>Presente de indicativo</i>","<b>you all eat</b><br><span style='font-size:85%'>comer — to eat · vosotros</span>","presente-indicativo regular es-en"
"<b>you all eat</b><br><i>Presente de indicativo</i>","<b>coméis</b><br><span style='font-size:85%'>comer — to eat · vosotros</span>","presente-indicativo regular en-es"
"<b>comen</b><br><i>Presente de indicativo</i>","<b>they eat</b><br><span style='font-size:85%'>comer — to eat · ellos/ellas/ustedes</span>","presente-indicativo regular es-en"
"<b>they eat</b><br><i>Presente de indicativo</i>","<b>comen</b><br><span style='font-size:85%'>comer — to eat · ellos/ellas/ustedes</span>","presente-indicativo regular en-es"
"<b>vivo</b><br><i>Presente de indicativo</i>","<b>I live</b><br><span style='font-size:85%'>vivir — to live · yo</span>","presente-indicativo regular es-en"
"<b>I live</b><br><i>Presente de indicativo</i>","<b>vivo</b><br><span style='font-size:85%'>vivir — to live · yo</span>","presente-indicativo regular en-es"
"<b>vives</b><br><i>Presente de indicativo</i>","<b>you live</b><br><span style='font-size:85%'>vivir — to live · tú</span>","presente-indicativo regular es-en"
"<b>you live</b><br><i>Presente de indicativo</i>","<b>vives</b><br><span style='font-size:85%'>vivir — to live · tú</span>","presente-indicativo regular en-es"
"<b>vive</b><br><i>Presente de indicativo</i>","<b>he/she lives</b><br><span style='font-size:85%'>vivir — to live · él/ella/usted</span>","presente-indicativo regular es-en"
"<b>he/she lives</b><br><i>Presente de indicativo</i>","<b>vive</b><br><span style='font-size:85%'>vivir — to live · él/ella/usted</span>","presente-indicativo regular en-es"
"<b>vivimos</b><br><i>Presente de indicativo</i>","<b>we live</b><br><span style='font-size:85%'>vivir — to live · nosotros</span>","presente-indicativo regular es-en"
"<b>we live</b><br><i>Presente de indicativo</i>","<b>vivimos</b><br><span style='font-size:85%'>vivir — to live · nosotros</span>","presente-indicativo regular en-es"
"<b>vivís</b><br><i>Presente de indicativo</i>","<b>you all live</b><br><span style='font-size:85%'>vivir — to live · vosotros</span>","presente-indicativo regular es-en"
"<b>you all live</b><br><i>Presente de indicativo</i>","<b>vivís</b><br><span style='font-size:85%'>vivir — to live · vosotros</span>","presente-indicativo regular en-es"
"<b>viven</b><br><i>Presente de indicativo</i>","<b>they live</b><br><span style='font-size:85%'>vivir — to live · ellos/ellas/ustedes</span>","presente-indicativo regular es-en"
"<b>they live</b><br><i>Presente de indicativo</i>","<b>viven</b><br><span style='font-size:85%'>vivir — to live · ellos/ellas/ustedes</span>","presente-indicativo regular en-es"
"<b>soy</b><br><i>Presente de indicativo</i>","<b>I am</b><br><span style='font-size:85%'>ser — to be (identity, essence) · yo</span>","presente-indicativo irregular es-en"
