#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::02 Pretérito perfecto simple
#columns:Front,Back,Tags
#tags column:3
"Endings at a glance:<br><i>Pretérito perfecto simple</i>","<b>-ar</b>: é · aste · ó · amos · asteis · aron<br><b>-er / -ir</b>: í · iste · ió · imos · isteis · ieron<br><b>Strong (irregular stem)</b>: e · iste · o · imos · isteis · ieron — <b>no accents</b>","preterito-indefinido endings"
"<b>hablé</b><br><i>Pretérito perfecto simple</i>","<b>I spoke</b><br><span style='font-size:85%'>hablar — to speak · yo</span>","preterito-indefinido regular es-en"
"<b>I spoke</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hablé</b><br><span style='font-size:85%'>hablar — to speak · yo</span>","preterito-indefinido regular en-es"
"<b>hablaste</b><br><i>Pretérito perfecto simple</i>","<b>you spoke</b><br><span style='font-size:85%'>hablar — to speak · tú</span>","preterito-indefinido regular es-en"
"<b>you spoke</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hablaste</b><br><span style='font-size:85%'>hablar — to speak · tú</span>","preterito-indefinido regular en-es"
"<b>habló</b><br><i>Pretérito perfecto simple</i>","<b>he/she spoke</b><br><span style='font-size:85%'>hablar — to speak · él/ella/usted</span>","preterito-indefinido regular es-en"
"<b>he/she spoke</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>habló</b><br><span style='font-size:85%'>hablar — to speak · él/ella/usted</span>","preterito-indefinido regular en-es"
"<b>hablamos</b><br><i>Pretérito perfecto simple</i>","<b>we spoke</b><br><span style='font-size:85%'>hablar — to speak · nosotros</span>","preterito-indefinido regular es-en"
"<b>we spoke</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hablamos</b><br><span style='font-size:85%'>hablar — to speak · nosotros</span>","preterito-indefinido regular en-es"
"<b>hablasteis</b><br><i>Pretérito perfecto simple</i>","<b>you all spoke</b><br><span style='font-size:85%'>hablar — to speak · vosotros</span>","preterito-indefinido regular es-en"
"<b>you all spoke</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hablasteis</b><br><span style='font-size:85%'>hablar — to speak · vosotros</span>","preterito-indefinido regular en-es"
"<b>hablaron</b><br><i>Pretérito perfecto simple</i>","<b>they spoke</b><br><span style='font-size:85%'>hablar — to speak · ellos/ellas/ustedes</span>","preterito-indefinido regular es-en"
