#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::03 Pretérito imperfecto
#columns:Front,Back,Tags
#tags column:3
"Endings at a glance:<br><i>Pretérito imperfecto</i>","<b>-ar</b>: aba · abas · aba · ábamos · abais · aban<br><b>-er / -ir</b>: ía · ías · ía · íamos · íais · ían","imperfecto-indicativo endings"
"<b>hablaba</b><br><i>Pretérito imperfecto</i>","<b>I used to speak</b><br><span style='font-size:85%'>hablar — to speak · yo</span>","imperfecto-indicativo regular es-en"
"<b>I used to speak</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>hablaba</b><br><span style='font-size:85%'>hablar — to speak · yo</span>","imperfecto-indicativo regular en-es"
"<b>hablabas</b><br><i>Pretérito imperfecto</i>","<b>you used to speak</b><br><span style='font-size:85%'>hablar — to speak · tú</span>","imperfecto-indicativo regular es-en"
"<b>you used to speak</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>hablabas</b><br><span style='font-size:85%'>hablar — to speak · tú</span>","imperfecto-indicativo regular en-es"
"<b>hablaba</b><br><i>Pretérito imperfecto</i>","<b>he/she used to speak</b><br><span style='font-size:85%'>hablar — to speak · él/ella/usted</span>","imperfecto-indicativo regular es-en"
"<b>he/she used to speak</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>hablaba</b><br><span style='font-size:85%'>hablar — to speak · él/ella/usted</span>","imperfecto-indicativo regular en-es"
"<b>hablábamos</b><br><i>Pretérito imperfecto</i>","<b>we used to speak</b><br><span style='font-size:85%'>hablar — to speak · nosotros</span>","imperfecto-indicativo regular es-en"
"<b>we used to speak</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>hablábamos</b><br><span style='font-size:85%'>hablar — to speak · nosotros</span>","imperfecto-indicativo regular en-es"
"<b>hablabais</b><br><i>Pretérito imperfecto</i>","<b>you all used to speak</b><br><span style='font-size:85%'>hablar — to speak · vosotros</span>","imperfecto-indicativo regular es-en"
"<b>you all used to speak</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>hablabais</b><br><span style='font-size:85%'>hablar — to speak · vosotros</span>","imperfecto-indicativo regular en-es"
"<b>hablaban</b><br><i>Pretérito imperfecto</i>","<b>they used to speak</b><br><span style='font-size:85%'>hablar — to speak · ellos/ellas/ustedes</span>","imperfecto-indicativo regular es-en"
"<b>they used to speak</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>hablaban</b><br><span style='font-size:85%'>hablar — to speak · ellos/ellas/ustedes</span>","imperfecto-indicativo regular en-es"
"<b>comía</b><br><i>Pretérito imperfecto</i>","<b>I used to eat</b><br><span style='font-size:85%'>comer — to eat · yo</span>","imperfecto-indicativo regular es-en"
"<b>I used to eat</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>comía</b><br><span style='font-size:85%'>comer — to eat · yo</span>","imperfecto-indicativo regular en-es"
"<b>comías</b><br><i>Pretérito imperfecto</i>","<b>you used to eat</b><br><span style='font-size:85%'>comer — to eat · tú</span>","imperfecto-indicativo regular es-en"
"<b>you used to eat</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>comías</b><br><span style='font-size:85%'>comer — to eat · tú</span>","imperfecto-indicativo regular en-es"
"<b>comía</b><br><i>Pretérito imperfecto</i>","<b>he/she used to eat</b><br><span style='font-size:85%'>comer — to eat · él/ella/usted</span>","imperfecto-indicativo regular es-en"
"<b>he/she used to eat</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>comía</b><br><span style='font-size:85%'>comer — to eat · él/ella/usted</span>","imperfecto-indicativo regular en-es"
"<b>comíamos</b><br><i>Pretérito imperfecto</i>","<b>we used to eat</b><br><span style='font-size:85%'>comer — to eat · nosotros</span>","imperfecto-indicativo regular es-en"
"<b>we used to eat</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>comíamos</b><br><span style='font-size:85%'>comer — to eat · nosotros</span>","imperfecto-indicativo regular en-es"
"<b>comíais</b><br><i>Pretérito imperfecto</i>","<b>you all used to eat</b><br><span style='font-size:85%'>comer — to eat · vosotros</span>","imperfecto-indicativo regular es-en"
"<b>you all used to eat</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>comíais</b><br><span style='font-size:85%'>comer — to eat · vosotros</span>","imperfecto-indicativo regular en-es"
"<b>comían</b><br><i>Pretérito imperfecto</i>","<b>they used to eat</b><br><span style='font-size:85%'>comer — to eat · ellos/ellas/ustedes</span>","imperfecto-indicativo regular es-en"
"<b>they used to eat</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>comían</b><br><span style='font-size:85%'>comer — to eat · ellos/ellas/ustedes</span>","imperfecto-indicativo regular en-es"
"<b>vivía</b><br><i>Pretérito imperfecto</i>","<b>I used to live</b><br><span style='font-size:85%'>vivir — to live · yo</span>","imperfecto-indicativo regular es-en"
"<b>I used to live</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>vivía</b><br><span style='font-size:85%'>vivir — to live · yo</span>","imperfecto-indicativo regular en-es"
"<b>vivías</b><br><i>Pretérito imperfecto</i>","<b>you used to live</b><br><span style='font-size:85%'>vivir — to live · tú</span>","imperfecto-indicativo regular es-en"
"<b>you used to live</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>vivías</b><br><span style='font-size:85%'>vivir — to live · tú</span>","imperfecto-indicativo regular en-es"
"<b>vivía</b><br><i>Pretérito imperfecto</i>","<b>he/she used to live</b><br><span style='font-size:85%'>vivir — to live · él/ella/usted</span>","imperfecto-indicativo regular es-en"
"<b>he/she used to live</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>vivía</b><br><span style='font-size:85%'>vivir — to live · él/ella/usted</span>","imperfecto-indicativo regular en-es"
"<b>vivíamos</b><br><i>Pretérito imperfecto</i>","<b>we used to live</b><br><span style='font-size:85%'>vivir — to live · nosotros</span>","imperfecto-indicativo regular es-en"
"<b>we used to live</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>vivíamos</b><br><span style='font-size:85%'>vivir — to live · nosotros</span>","imperfecto-indicativo regular en-es"
"<b>vivíais</b><br><i>Pretérito imperfecto</i>","<b>you all used to live</b><br><span style='font-size:85%'>vivir — to live · vosotros</span>","imperfecto-indicativo regular es-en"
"<b>you all used to live</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>vivíais</b><br><span style='font-size:85%'>vivir — to live · vosotros</span>","imperfecto-indicativo regular en-es"
"<b>vivían</b><br><i>Pretérito imperfecto</i>","<b>they used to live</b><br><span style='font-size:85%'>vivir — to live · ellos/ellas/ustedes</span>","imperfecto-indicativo regular es-en"
"<b>they used to live</b><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>vivían</b><br><span style='font-size:85%'>vivir — to live · ellos/ellas/ustedes</span>","imperfecto-indicativo regular en-es"
"<b>era</b><br><i>Pretérito imperfecto</i>","<b>I used to be</b><br><span style='font-size:85%'>ser — to be (identity, essence) · yo</span>","imperfecto-indicativo irregular es-en"
"<b>I used to be</b><br><span style='font-size:80%'>[identity, essence]</span><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>era</b><br><span style='font-size:85%'>ser — to be (identity, essence) · yo</span>","imperfecto-indicativo irregular en-es"
"<b>eras</b><br><i>Pretérito imperfecto</i>","<b>you used to be</b><br><span style='font-size:85%'>ser — to be (identity, essence) · tú</span>","imperfecto-indicativo irregular es-en"
"<b>you used to be</b><br><span style='font-size:80%'>[identity, essence]</span><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>eras</b><br><span style='font-size:85%'>ser — to be (identity, essence) · tú</span>","imperfecto-indicativo irregular en-es"
"<b>era</b><br><i>Pretérito imperfecto</i>","<b>he/she used to be</b><br><span style='font-size:85%'>ser — to be (identity, essence) · él/ella/usted</span>","imperfecto-indicativo irregular es-en"
"<b>he/she used to be</b><br><span style='font-size:80%'>[identity, essence]</span><br><i>Pretérito imperfecto</i><br><span style='font-size:80%'>(imperfect — ongoing or habitual, also 'I was ~ing')</span>","<b>era</b><br><span style='font-size:85%'>ser — to be (identity, essence) · él/ella/usted</span>","imperfecto-indicativo irregular en-es"
"<b>éramos</b><br><i>Pretérito imperfecto</i>","<b>we used to be</b><br><span style='font-size:85%'>ser — to be (identity, essence) · nosotros</span>","imperfecto-indicativo irregular es-en"
