#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::05 Pretérito perfecto compuesto
#columns:Front,Back,Tags
#tags column:3
"How is the <b>Pretérito perfecto compuesto</b> formed?","<b>haber in the <b>present</b></b> + past participle<br><br>he · has · ha · hemos · habéis · han<br><br>Participles: -ar → <b>-ado</b> · -er/-ir → <b>-ido</b>","preterito-perfecto-compuesto formation"
"Endings at a glance:<br><i>Pretérito perfecto compuesto</i>","<b>haber</b>: he · has · ha · hemos · habéis · han<br>participle is <b>invariable</b> — always -o","preterito-perfecto-compuesto endings"
"<b>he hablado</b><br><i>Pretérito perfecto compuesto</i>","<b>I have spoken</b><br><span style='font-size:85%'>hablar — to speak · yo</span>","preterito-perfecto-compuesto regular es-en"
"<b>I have spoken</b><br><i>Pretérito perfecto compuesto</i>","<b>he hablado</b><br><span style='font-size:85%'>hablar — to speak · yo</span>","preterito-perfecto-compuesto regular en-es"
"<b>has hablado</b><br><i>Pretérito perfecto compuesto</i>","<b>you have spoken</b><br><span style='font-size:85%'>hablar — to speak · tú</span>","preterito-perfecto-compuesto regular es-en"
"<b>you have spoken</b><br><i>Pretérito perfecto compuesto</i>","<b>has hablado</b><br><span style='font-size:85%'>hablar — to speak · tú</span>","preterito-perfecto-compuesto regular en-es"
"<b>ha hablado</b><br><i>Pretérito perfecto compuesto</i>","<b>he/she has spoken</b><br><span style='font-size:85%'>hablar — to speak · él/ella/usted</span>","preterito-perfecto-compuesto regular es-en"
"<b>he/she has spoken</b><br><i>Pretérito perfecto compuesto</i>","<b>ha hablado</b><br><span style='font-size:85%'>hablar — to speak · él/ella/usted</span>","preterito-perfecto-compuesto regular en-es"
"<b>hemos hablado</b><br><i>Pretérito perfecto compuesto</i>","<b>we have spoken</b><br><span style='font-size:85%'>hablar — to speak · nosotros</span>","preterito-perfecto-compuesto regular es-en"
"<b>we have spoken</b><br><i>Pretérito perfecto compuesto</i>","<b>hemos hablado</b><br><span style='font-size:85%'>hablar — to speak · nosotros</span>","preterito-perfecto-compuesto regular en-es"
"<b>habéis hablado</b><br><i>Pretérito perfecto compuesto</i>","<b>you all have spoken</b><br><span style='font-size:85%'>hablar — to speak · vosotros</span>","preterito-perfecto-compuesto regular es-en"
"<b>you all have spoken</b><br><i>Pretérito perfecto compuesto</i>","<b>habéis hablado</b><br><span style='font-size:85%'>hablar — to speak · vosotros</span>","preterito-perfecto-compuesto regular en-es"
"<b>han hablado</b><br><i>Pretérito perfecto compuesto</i>","<b>they have spoken</b><br><span style='font-size:85%'>hablar — to speak · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto regular es-en"
"<b>they have spoken</b><br><i>Pretérito perfecto compuesto</i>","<b>han hablado</b><br><span style='font-size:85%'>hablar — to speak · ellos/ellas/ustedes</span>","preterito-perfecto-compuesto regular en-es"
"<b>he comido</b><br><i>Pretérito perfecto compuesto</i>","<b>I have eaten</b><br><span style='font-size:85%'>comer — to eat · yo</span>","preterito-perfecto-compuesto regular es-en"
"<b>I have eaten</b><br><i>Pretérito perfecto compuesto</i>","<b>he comido</b><br><span style='font-size:85%'>comer — to eat · yo</span>","preterito-perfecto-compuesto regular en-es"
"<b>has comido</b><br><i>Pretérito perfecto compuesto</i>","<b>you have eaten</b><br><span style='font-size:85%'>comer — to eat · tú</span>","preterito-perfecto-compuesto regular es-en"
"<b>you have eaten</b><br><i>Pretérito perfecto compuesto</i>","<b>has comido</b><br><span style='font-size:85%'>comer — to eat · tú</span>","preterito-perfecto-compuesto regular en-es"
