#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::08 Futuro simple
#columns:Front,Back,Tags
#tags column:3
"How is the <b>futuro simple</b> formed?","<b>Whole infinitive</b> + é · ás · á · emos · éis · án<br><br>One set for all three conjugations. Accents on every form <b>except nosotros</b>.","futuro-simple formation"
"Endings at a glance:<br><i>Futuro simple</i>","<b>all three conjugations</b>: é · ás · á · emos · éis · án","futuro-simple endings"
"Te <b>llamaré</b> cuando llegue al hotel.<br><i>Futuro simple</i>","<b>I'll call</b> you when I get to the hotel.<br><span style='font-size:85%'>llamar — to call · yo · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple regular es-en use-cuando"
"<b>I'll water</b> your plants while you're away, don't worry.<br><i>Futuro simple</i><br><span style='font-size:80%'>(regar · yo)</span>","Te <b>regaré</b> las plantas mientras estés fuera, no te preocupes.<br><span style='font-size:85%'>regar — to water · yo · <i>promise / resolution</i></span>","futuro-simple regular en-es use-promise"
"Si estudias un poco cada día, <b>aprobarás</b> sin problema.<br><i>Futuro simple</i>","If you study a bit every day, <b>you'll pass</b> easily.<br><span style='font-size:85%'>aprobar — to pass (an exam) · tú · <i>result of si + present indicative</i></span>","futuro-simple regular es-en use-si"
"<b>You must be</b> joking, right?<br><i>Futuro simple</i><br><span style='font-size:80%'>(estar · tú)</span>","<b>Estarás</b> de broma, ¿no?<br><span style='font-size:85%'>estar — to be · tú · <i>conjecture / probability (not about the future)</i></span>","futuro-simple regular en-es use-conjecture"
"El tren procedente de Madrid <b>llegará</b> con veinte minutos de retraso.<br><i>Futuro simple</i>","The train from Madrid <b>will arrive</b> twenty minutes late.<br><span style='font-size:85%'>llegar — to arrive · él · <i>future event: formal register / announcement</i></span>","futuro-simple regular es-en use-formal"
"That car <b>must cost</b> a fortune.<br><i>Futuro simple</i><br><span style='font-size:80%'>(costar · él)</span>","Ese coche <b>costará</b> un dineral.<br><span style='font-size:85%'>costar — to cost · él · <i>conjecture / probability (not about the future)</i></span>","futuro-simple regular en-es use-conjecture"
"Cuando tengamos más dinero, <b>cambiaremos</b> de coche.<br><i>Futuro simple</i>","When we've got more money, <b>we'll get</b> a new car.<br><span style='font-size:85%'>cambiar — to change · nosotros · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple regular es-en use-cuando"
"If the weather's nice, <b>we'll have dinner</b> on the terrace.<br><i>Futuro simple</i><br><span style='font-size:80%'>(cenar · nosotros)</span>","Si hace bueno, <b>cenaremos</b> en la terraza.<br><span style='font-size:85%'>cenar — to have dinner · nosotros · <i>result of si + present indicative</i></span>","futuro-simple regular en-es use-si"
"Os lo digo yo: <b>disfrutaréis</b> un montón en Granada.<br><i>Futuro simple</i>","Take it from me: <b>you guys will have</b> a great time in Granada.<br><span style='font-size:85%'>disfrutar — to enjoy · vosotros · <i>prediction</i></span>","futuro-simple regular es-en use-prediction"
