#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::09 Pretérito pluscuamperfecto
#columns:Front,Back,Tags
#tags column:3
"How is the <b>Pretérito pluscuamperfecto</b> formed?","<b>haber in the <b>imperfect</b></b> + past participle<br><br>había · habías · había · habíamos · habíais · habían<br><br>Participles: -ar → <b>-ado</b> · -er/-ir → <b>-ido</b>","pluscuamperfecto-indicativo formation"
"Endings at a glance:<br><i>Pretérito pluscuamperfecto</i>","<b>haber</b>: había · habías · había · habíamos · habíais · habían<br>participle is <b>invariable</b> — always -o","pluscuamperfecto-indicativo endings"
"<b>había hablado</b><br><i>Pretérito pluscuamperfecto</i>","<b>I had spoken</b><br><span style='font-size:85%'>hablar — to speak · yo</span>","pluscuamperfecto-indicativo regular es-en"
"<b>I had spoken</b><br><i>Pretérito pluscuamperfecto</i>","<b>había hablado</b><br><span style='font-size:85%'>hablar — to speak · yo</span>","pluscuamperfecto-indicativo regular en-es"
"<b>habías hablado</b><br><i>Pretérito pluscuamperfecto</i>","<b>you had spoken</b><br><span style='font-size:85%'>hablar — to speak · tú</span>","pluscuamperfecto-indicativo regular es-en"
"<b>you had spoken</b><br><i>Pretérito pluscuamperfecto</i>","<b>habías hablado</b><br><span style='font-size:85%'>hablar — to speak · tú</span>","pluscuamperfecto-indicativo regular en-es"
"<b>había hablado</b><br><i>Pretérito pluscuamperfecto</i>","<b>he/she had spoken</b><br><span style='font-size:85%'>hablar — to speak · él/ella/usted</span>","pluscuamperfecto-indicativo regular es-en"
"<b>he/she had spoken</b><br><i>Pretérito pluscuamperfecto</i>","<b>había hablado</b><br><span style='font-size:85%'>hablar — to speak · él/ella/usted</span>","pluscuamperfecto-indicativo regular en-es"
"<b>habíamos hablado</b><br><i>Pretérito pluscuamperfecto</i>","<b>we had spoken</b><br><span style='font-size:85%'>hablar — to speak · nosotros</span>","pluscuamperfecto-indicativo regular es-en"
"<b>we had spoken</b><br><i>Pretérito pluscuamperfecto</i>","<b>habíamos hablado</b><br><span style='font-size:85%'>hablar — to speak · nosotros</span>","pluscuamperfecto-indicativo regular en-es"
"<b>habíais hablado</b><br><i>Pretérito pluscuamperfecto</i>","<b>you all had spoken</b><br><span style='font-size:85%'>hablar — to speak · vosotros</span>","pluscuamperfecto-indicativo regular es-en"
"<b>you all had spoken</b><br><i>Pretérito pluscuamperfecto</i>","<b>habíais hablado</b><br><span style='font-size:85%'>hablar — to speak · vosotros</span>","pluscuamperfecto-indicativo regular en-es"
"<b>habían hablado</b><br><i>Pretérito pluscuamperfecto</i>","<b>they had spoken</b><br><span style='font-size:85%'>hablar — to speak · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo regular es-en"
"<b>they had spoken</b><br><i>Pretérito pluscuamperfecto</i>","<b>habían hablado</b><br><span style='font-size:85%'>hablar — to speak · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo regular en-es"
"<b>había comido</b><br><i>Pretérito pluscuamperfecto</i>","<b>I had eaten</b><br><span style='font-size:85%'>comer — to eat · yo</span>","pluscuamperfecto-indicativo regular es-en"
"<b>I had eaten</b><br><i>Pretérito pluscuamperfecto</i>","<b>había comido</b><br><span style='font-size:85%'>comer — to eat · yo</span>","pluscuamperfecto-indicativo regular en-es"
"<b>habías comido</b><br><i>Pretérito pluscuamperfecto</i>","<b>you had eaten</b><br><span style='font-size:85%'>comer — to eat · tú</span>","pluscuamperfecto-indicativo regular es-en"
"<b>you had eaten</b><br><i>Pretérito pluscuamperfecto</i>","<b>habías comido</b><br><span style='font-size:85%'>comer — to eat · tú</span>","pluscuamperfecto-indicativo regular en-es"
"<b>había comido</b><br><i>Pretérito pluscuamperfecto</i>","<b>he/she had eaten</b><br><span style='font-size:85%'>comer — to eat · él/ella/usted</span>","pluscuamperfecto-indicativo regular es-en"
"<b>he/she had eaten</b><br><i>Pretérito pluscuamperfecto</i>","<b>había comido</b><br><span style='font-size:85%'>comer — to eat · él/ella/usted</span>","pluscuamperfecto-indicativo regular en-es"
"<b>habíamos comido</b><br><i>Pretérito pluscuamperfecto</i>","<b>we had eaten</b><br><span style='font-size:85%'>comer — to eat · nosotros</span>","pluscuamperfecto-indicativo regular es-en"
"<b>we had eaten</b><br><i>Pretérito pluscuamperfecto</i>","<b>habíamos comido</b><br><span style='font-size:85%'>comer — to eat · nosotros</span>","pluscuamperfecto-indicativo regular en-es"
"<b>habíais comido</b><br><i>Pretérito pluscuamperfecto</i>","<b>you all had eaten</b><br><span style='font-size:85%'>comer — to eat · vosotros</span>","pluscuamperfecto-indicativo regular es-en"
"<b>you all had eaten</b><br><i>Pretérito pluscuamperfecto</i>","<b>habíais comido</b><br><span style='font-size:85%'>comer — to eat · vosotros</span>","pluscuamperfecto-indicativo regular en-es"
"<b>habían comido</b><br><i>Pretérito pluscuamperfecto</i>","<b>they had eaten</b><br><span style='font-size:85%'>comer — to eat · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo regular es-en"
"<b>they had eaten</b><br><i>Pretérito pluscuamperfecto</i>","<b>habían comido</b><br><span style='font-size:85%'>comer — to eat · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo regular en-es"
"<b>había vivido</b><br><i>Pretérito pluscuamperfecto</i>","<b>I had lived</b><br><span style='font-size:85%'>vivir — to live · yo</span>","pluscuamperfecto-indicativo regular es-en"
"<b>I had lived</b><br><i>Pretérito pluscuamperfecto</i>","<b>había vivido</b><br><span style='font-size:85%'>vivir — to live · yo</span>","pluscuamperfecto-indicativo regular en-es"
"<b>habías vivido</b><br><i>Pretérito pluscuamperfecto</i>","<b>you had lived</b><br><span style='font-size:85%'>vivir — to live · tú</span>","pluscuamperfecto-indicativo regular es-en"
"<b>you had lived</b><br><i>Pretérito pluscuamperfecto</i>","<b>habías vivido</b><br><span style='font-size:85%'>vivir — to live · tú</span>","pluscuamperfecto-indicativo regular en-es"
"<b>había vivido</b><br><i>Pretérito pluscuamperfecto</i>","<b>he/she had lived</b><br><span style='font-size:85%'>vivir — to live · él/ella/usted</span>","pluscuamperfecto-indicativo regular es-en"
"<b>he/she had lived</b><br><i>Pretérito pluscuamperfecto</i>","<b>había vivido</b><br><span style='font-size:85%'>vivir — to live · él/ella/usted</span>","pluscuamperfecto-indicativo regular en-es"
"<b>habíamos vivido</b><br><i>Pretérito pluscuamperfecto</i>","<b>we had lived</b><br><span style='font-size:85%'>vivir — to live · nosotros</span>","pluscuamperfecto-indicativo regular es-en"
"<b>we had lived</b><br><i>Pretérito pluscuamperfecto</i>","<b>habíamos vivido</b><br><span style='font-size:85%'>vivir — to live · nosotros</span>","pluscuamperfecto-indicativo regular en-es"
"<b>habíais vivido</b><br><i>Pretérito pluscuamperfecto</i>","<b>you all had lived</b><br><span style='font-size:85%'>vivir — to live · vosotros</span>","pluscuamperfecto-indicativo regular es-en"
"<b>you all had lived</b><br><i>Pretérito pluscuamperfecto</i>","<b>habíais vivido</b><br><span style='font-size:85%'>vivir — to live · vosotros</span>","pluscuamperfecto-indicativo regular en-es"
"<b>habían vivido</b><br><i>Pretérito pluscuamperfecto</i>","<b>they had lived</b><br><span style='font-size:85%'>vivir — to live · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo regular es-en"
"<b>they had lived</b><br><i>Pretérito pluscuamperfecto</i>","<b>habían vivido</b><br><span style='font-size:85%'>vivir — to live · ellos/ellas/ustedes</span>","pluscuamperfecto-indicativo regular en-es"
"Full paradigm:<br><b>haber (auxiliary)</b> — <i>haber (auxiliary)</i><br><i>Pretérito pluscuamperfecto</i>","<table><tr><td>yo</td><td><b>había</b></td></tr><tr><td>tú</td><td><b>habías</b></td></tr><tr><td>él/ella/usted</td><td><b>había</b></td></tr><tr><td>nosotros</td><td><b>habíamos</b></td></tr><tr><td>vosotros</td><td><b>habíais</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>habían</b></td></tr></table>","pluscuamperfecto-indicativo fullparadigm auxiliary"
"<b>había hecho</b><br><i>Pretérito pluscuamperfecto</i>","<b>I had done</b><br><span style='font-size:85%'>hacer — to do (do or make) · yo</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>I had done</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito pluscuamperfecto</i>","<b>había hecho</b><br><span style='font-size:85%'>hacer — to do (do or make) · yo</span>","pluscuamperfecto-indicativo irregular-participle en-es"
"<b>habías hecho</b><br><i>Pretérito pluscuamperfecto</i>","<b>you had done</b><br><span style='font-size:85%'>hacer — to do (do or make) · tú</span>","pluscuamperfecto-indicativo irregular-participle es-en"
"<b>you had done</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito pluscuamperfecto</i>","<b>habías hecho</b><br><span style='font-size:85%'>hacer — to do (do or make) · tú</span>","pluscuamperfecto-indicativo irregular-participle en-es"
